,target,ConstrPattern
502,валить1 1.5 (о стихии безл.),Sacc Vimpers
503,валить1 1.2 (о человеке - столб),Snom V Sacc {ADV / PRкуда + Sx}
504,валить1 1.3 (о человеке - точка контакта),Snom V Sacc {ADV / на + Sacc}
505,валить 1 1.7 (о стихии безл.),Snom Vimpers Sacc
506,валить 1.3.1 (о солнце - вызывать падение),Snom V Sacc {ADV / PRкуда + Sx}
507,валить1 1.6 (о стихии безл.),Vimpers {ADV / PRкуда + Sx} Sacc
508,варить 1.1.1 'создавать',Snom V Sacc
509,варить 1.2 'создавать',Snom V Sacc из + Sgen
510,варить 1.3 'обрабатывать',Snom V Sacc в + Sloc
511,варить 1.4 'обрабатывать',Snom V Sacc {в + Sloc / на + Sloc}
512,варить 1.5 'создавать',Snom V Sacc на + Sloc
513,ввести 1.1,Snom V Sacc
514,ввести 1.2,Snom V Sacc {ADV / PRкуда + Sx}
515,ввести 1.3,Snom V Sacc PRоткуда + Sx PRкуда + Sy
516,ввести 2.1,Snom V Sacc {ADV / PRкуда + Sx}
517,ввести 3.1,Snom V Sacc в + Sacc
518,ввести 4.1,Snom V Sacc в + Sacc
519,ввести 5.1,Snom V Sacc
520,ввести 5.2,Snom V Sacc {ADV / PRгде + Sx}
521,ввести 6.1,Snom V Sacc в + Sacc
522,вдохновлять 1.1,Snom V Sacc
523,вдохновлять 1.2,Snom V Sacc на + Sacc
524,вдохновлять 1.3,Snom V Sacc Sins
525,ведать 1.1 'заведовать',Snom V Sins
526,ведать 2.1 'знать',Snom V Sacc
527,везти1 1.1,Snom V Sacc
528,везти1 1.2,Snom V Sacc {ADV / PRоткуда + Sx}
529,везти1 1.3,Snom V Sacc {ADV / PRкуда + Sx}
530,везти1 1.4,Snom V Sacc PRтраект + Sx
531,везти1 1.5,Snom V Sacc Sdat
532,везти1 1.6,Snom V Sacc на + Sacc
533,везти1 1.7,Snom V Sacc Sins
534,везти1 1.8,Snom V Sacc {в + Sloc / на + Sloc}
535,везти1 1.9,Snom V Sacc Vinf
536,везти1 2.1,Snom V Sacc
537,везти1 2.2,Snom V Sacc {ADV / PRоткуда + Sx}
538,везти1 2.3,Snom V Sacc {ADV / PRкуда + Sx}
539,везти1 2.4,Snom V Sacc PRтраект + Sx
540,везти2 3.1,Sdat Vimpers
541,везти2 3.2,Sdat Vimpers с + Sins
542,везти2 3.4,Sdat Vimpers в + Sloc
543,велеть 1.4,Snom V ADV
544,велеть 1.3,Snom V SPROacc
545,велеть 1.1,Snom V Vinf
546,велеть 1.2,Snom V чтобы + CL
547,велеть 1.5,Snom V {ADV / Sacc / Vinf / чтобы + CL} Sdat
548,"велеть 2.1 (о совести, чести)",Snom V Sdat ADV
